CIS Annual Schedule 2017-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fall,,,,,,,,,,,,,,,,,,Winter,,,,,,,,,,,,,,,,,,Summer,,,,,,,,,,,,,,,,,
,AH,AH,AH,HL,HL,HL,OR,OR,OR,RO,RO,RO,SF,SF,SF,Total,OL,,AH,AH,AH,HL,HL,HL,OR,OR,OR,RO,RO,RO,SF,SF,SF,Total,OL,,AH,AH,AH,HL,HL,HL,OR,OR,OR,RO,RO,RO,SF,SF,SF,Total,OL,Annual Total
Course,Morn,Aft,Eve,Morn,Aft,Eve,Morn,Aft,Eve,Morn,Aft,Eve,Morn,Aft,Eve,,,,Morn,Aft,Eve,Morn,Aft,Eve,Morn,Aft,Eve,Morn,Aft,Eve,Morn,Aft,Eve,,,,Morn,Aft,Eve,Morn,Aft,Eve,Morn,Aft,Eve,Morn,Aft,Eve,Morn,Aft,Eve,,,
1000,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,2,,,,,2,,6
1050,,1,,1,2,1,1,,,2,1,1,2,,,12,6,,,,1,1,2,1,1,1,,2,1,1,2,,,13,6,,,,,2,,3,,,,1,,1,2,,,9,5,34
1060,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,0,,2
1070,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,1,,3
1080,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,1
1090,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0
1100,1,,,,,1,1,,,,1,,,,,4,,,,1,,,,1,1,,,,1,,,,,4,,,,1,,,,,,,,,1,,,,,2,,10
1200,1,1,1,,,,,1,2,,,,,,,6,,,1,1,1,,,,,1,2,,,,,,,6,,,1,1,,,,,,,1,,,,,,,3,,15
1295,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,1
1300,1,2,1,,,,,1,1,,,,,,,6,,,1,2,1,,,,,1,1,,,,,,,6,,,,,1,,,,1,,,,,,,,,2,,14
1305,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,3
1310,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,3
1320,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,3
1330,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,3
1400,,,,,,,,2,1,,,,,,,3,,,,,,,,,,2,1,,,,,,,3,,,,,,,,,1,,1,,,,,,,2,,8
1420,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,3
1440,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,3
1500,,1,,,,,1,2,2,,,,,,,6,,,,,,,,,1,1,2,,1,1,,,,6,,,,1,,,,,,,2,,,,,,,3,,15
1512,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,1,,,,,,,2,,,,,,,,,,,1,,,,,,,1,,4
1550,,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,2
1600,1,1,2,,,,,,,,,,,,,4,,,1,1,2,,,,,,,,,,,,,4,,,1,,1,,,,,,,,,,,,,2,,10
1610,,1,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,3
1620,,,,,,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,2
1630,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,1,,1
1720,,,,,,,,,,,,,,,,0,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,0,,1
1721,,,,,,,,,,,,,,,,0,,,,,,,,,,,1,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,2
1722,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,1
2111,,1,,,,,,,,,,,,,,1,,,,,1,,,,,,1,,,,,,,2,,,1,,,,,,,1,,,,,,,,2,,5
2151,,,1,,,,,1,,,,,,,,2,,,,,1,,,,,,1,,,,,,,2,,,,,,,,,,,1,,,,,,,1,,5
2212,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,1,,,,,,,1,,1
2232,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,3
2252,,,,,,,,,2,,,,,,,2,,,,,,,,,,,2,,,,,,,2,,,,,,,,,,1,1,,,,,,,2,,6
2333,,1,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,3
2353,,,,,,,,1,1,,,,,,,2,,,,,,,,,,,2,,,,,,,2,,,,,,,,,,,1,,,,,,,1,,5
2434,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,3
2454,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,3
2515,,,,,,,,,,,,,,,,0,,,,,1,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,0,,2
2535,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,1,,,,,,,,,,,,,1,,1
2555,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,0,,2
2616,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1,,,,,,,,1,,1
2636,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,1,,1,,,,,,,,,,,,,2,,2
2656,1,,1,,,,,,1,,,,,,,3,,,1,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,5
2737,,,,,,,,,,,,,,,,0,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,1
2757,,,1,,,,,,1,,,,,,,2,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,0,,3
2818,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,0,,2
2819,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,0,,2
2838,,,1,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,0,,3
2839,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0
2845,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,1,,2
2858,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,3
2859,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,3
2862,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,0,,2
2980,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,3
2901,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0
2991,,,,,,,,,,,,,,,,0,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,2
Tot.,10,11,11,1,2,2,4,11,18,5,2,3,2,0,0,82,6,,8,8,15,1,2,2,4,9,24,4,3,4,2,0,0,86,6,,6,8,10,2,0,3,5,3,13,1,3,2,2,0,0,58,5,226
,32,,,5,,,33,,,12,,,2,,,,,,31,,,5,,,37,,,11,,,2,,,,,,24,,,5,,,21,,,6,,,2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For Fall 2017 sections only -- indicates a difference between  Excel spreadsheet and the currently published schedule.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designates a Saturday section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add sections?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
